th,diffh1,xdiffh1,tdiffh1,diffh2,xdiffh2,tdiffh2,diffh3,xdiffh3,tdiffh3,diffh4,xdiffh4,tdiffh4,diffh5,xdiffh5,tdiffh5,ta,diffa1,xdiffa1,tdiffa1,diffa2,xdiffa2,tdiffa2,diffa3,xdiffa3,tdiffa3,diffa4,xdiffa4,tdiffa4,diffa5,xdiffa5,tdiffa5,hs,as
11,-1,-2.3,-8,-2,-1.9000000000000008,-1,0,-1.2000000000000002,7,3,3.4,-2,-4,0.09999999999999964,4,15,1,6.500000000000002,-4,-5,-6.6,-6,3,1.2999999999999998,1,-1,-0.7999999999999994,-15,-1,-1.9000000000000004,1,3,1
13,-1,-6.500000000000002,4,0,-4.0,-2,-1,-2.8999999999999995,-1,0,2.4000000000000004,3,1,-2.2,3,5,-1,4.5,1,2,1.9000000000000008,1,4,7.5,7,-3,-2.6999999999999993,12,2,-1.1999999999999993,-6,1,2
4,1,-4.5,-1,5,6.6,6,-2,1.0000000000000009,-3,0,2.5999999999999996,-1,-1,0.5,7,17,-4,-5.1,-3,1,-0.20000000000000018,-17,-3,-1.2999999999999998,-1,3,2.6999999999999993,-12,-4,-6.8999999999999995,-6,3,0
14,-1,-1.8000000000000003,-2,1,0.7000000000000002,2,-1,-0.7999999999999998,-3,0,0.5000000000000004,-12,0,-1.5,-9,2,4,5.4,4,2,4.699999999999999,2,5,4.8,-1,0,-2.5999999999999996,1,4,4.700000000000001,10,2,3
7,0,-0.39999999999999947,3,-2,-4.699999999999999,-2,3,2.5999999999999996,9,-1,2.5000000000000004,3,0,1.5,9,6,2,2.7,7,0,4.0,2,1,0.7999999999999998,3,0,-0.0,1,4,6.8999999999999995,6,1,3
9,-4,-5.4,-4,5,3.5999999999999996,-4,2,-0.3000000000000007,-7,0,0.0,-1,-1,1.0999999999999996,-5,12,4,5.1,3,0,-1.4,3,0,1.2000000000000002,-7,0,-2.4000000000000004,-3,1,1.9000000000000004,-1,0,3
8,1,1.8000000000000003,2,-2,-5.7,-6,-2,0.3000000000000007,7,1,-2.5000000000000004,-3,4,-0.09999999999999964,-4,18,-2,-4.4,-15,-1,-0.7000000000000002,-2,-3,-2.5999999999999996,-9,-4,-4.000000000000001,2,-1,2.2,-3,2,1
16,-2,-2.7,-7,0,1.4,-3,-4,-7.5,-7,4,4.000000000000001,-2,-4,-4.700000000000001,-10,1,1,2.3,8,-1,0.20000000000000018,17,2,-1.0000000000000009,3,1,0.7999999999999994,15,-2,1.1999999999999993,6,5,0
3,2,4.4,15,2,5.7,6,-5,-4.8,1,0,-0.5000000000000004,12,1,-1.0999999999999996,5,10,0,0.39999999999999947,-3,-5,-3.5999999999999996,4,1,2.8999999999999995,1,-3,-3.4,2,1,-0.5,-7,2,0
11,3,-2.6999999999999984,-3,4,5.1,3,0,-1.4,3,0,1.2000000000000002,-7,0,-2.4000000000000004,-3,4,3,-0.5,13,1,-4.5,-1,5,6.6,6,-2,1.0000000000000009,-3,0,2.5999999999999996,-1,2,0
