th,diffh1,xdiffh1,tdiffh1,diffh2,xdiffh2,tdiffh2,diffh3,xdiffh3,tdiffh3,diffh4,xdiffh4,tdiffh4,diffh5,xdiffh5,tdiffh5,ta,diffa1,xdiffa1,tdiffa1,diffa2,xdiffa2,tdiffa2,diffa3,xdiffa3,tdiffa3,diffa4,xdiffa4,tdiffa4,diffa5,xdiffa5,tdiffa5,hs,as
1,1,2.5999999999999996,12,4,5.4,4,2,4.699999999999999,2,5,4.8,-1,0,-2.5999999999999996,1,7,1,-1.0,10,1,1.8000000000000003,2,-2,-5.7,-6,-2,0.3000000000000007,7,1,-2.5000000000000004,-3,6,1
17,-3,0.5,-13,-4,-5.1,-3,1,-0.20000000000000018,-17,-3,-1.2999999999999998,-1,3,2.6999999999999993,-12,8,2,-0.39999999999999947,4,-1,-2.3,-8,-2,-1.9000000000000008,-1,0,-1.2000000000000002,7,3,3.4,-2,2,1
16,-2,0.39999999999999947,-4,1,6.500000000000002,-4,-5,-6.6,-6,3,1.2999999999999998,1,-1,-0.7999999999999994,-15,15,-1,-2.5999999999999996,-12,-1,-1.8000000000000003,-2,1,0.7000000000000002,2,-1,-0.7999999999999998,-3,0,0.5000000000000004,-12,2,1
12,-2,-2.8999999999999995,-7,0,0.39999999999999947,-3,-5,-3.5999999999999996,4,1,2.8999999999999995,1,-3,-3.4,2,14,5,1.9000000000000004,-15,-2,-2.7,-7,0,1.4,-3,-4,-7.5,-7,4,4.000000000000001,-2,1,2
5,1,2.0999999999999996,8,-1,4.5,1,2,1.9000000000000008,1,4,7.5,7,-3,-2.6999999999999993,12,9,-2,-1.7999999999999998,-1,0,-0.39999999999999947,3,-2,-4.699999999999999,-2,3,2.5999999999999996,9,-1,2.5000000000000004,3,4,2
6,2,1.7999999999999998,1,2,2.7,7,0,4.0,2,1,0.7999999999999998,3,0,-0.0,1,2,2,2.8999999999999995,7,2,4.4,15,2,5.7,6,-5,-4.8,1,0,-0.5000000000000004,12,3,1
18,-1,1.0,-10,-2,-4.4,-15,-1,-0.7000000000000002,-2,-3,-2.5999999999999996,-9,-4,-4.000000000000001,2,10,-3,2.6999999999999984,3,-4,-5.4,-4,5,3.5999999999999996,-4,2,-0.3000000000000007,-7,0,0.0,-1,1,0
3,-5,-1.9000000000000004,15,1,2.3,8,-1,0.20000000000000018,17,2,-1.0000000000000009,3,1,0.7999999999999994,15,13,-1,-2.0999999999999996,-8,-1,-6.500000000000002,4,0,-4.0,-2,-1,-2.8999999999999995,-1,0,2.4000000000000004,3,2,2
9,-1,-2.4999999999999996,9,2,-0.39999999999999947,4,-1,-2.3,-8,-2,-1.9000000000000008,-1,0,-1.2000000000000002,7,6,-2,1.2999999999999998,7,3,-0.5,13,1,-4.5,-1,5,6.6,6,-2,1.0000000000000009,-3,4,2
14,0,-4.300000000000001,-10,-1,-2.0999999999999996,-8,-1,-6.500000000000002,4,0,-4.0,-2,-1,-2.8999999999999995,-1,17,1,2.4999999999999996,-9,-3,0.5,-13,-4,-5.1,-3,1,-0.20000000000000018,-17,-3,-1.2999999999999998,-1,0,1
16,-1,-2.8,1,-1,-2.5999999999999996,-12,-1,-1.8000000000000003,-2,1,0.7000000000000002,2,-1,-0.7999999999999998,-3,12,-1,4.1,2,-2,-2.8999999999999995,-7,0,0.39999999999999947,-3,-5,-3.5999999999999996,4,1,2.8999999999999995,1,2,0
10,-2,-1.8000000000000007,-4,-2,-1.7999999999999998,-1,0,-0.39999999999999947,3,-2,-4.699999999999999,-2,3,2.5999999999999996,9,8,2,-1.2999999999999998,-7,3,-2.6999999999999984,-3,4,5.1,3,0,-1.4,3,0,1.2000000000000002,-7,1,2
13,1,-4.1,-2,5,1.9000000000000004,-15,-2,-2.7,-7,0,1.4,-3,-4,-7.5,-7,15,1,2.8,-1,-2,0.39999999999999947,-4,1,6.500000000000002,-4,-5,-6.6,-6,3,1.2999999999999998,1,2,0
7,-5,-7.300000000000002,-6,1,-1.0,10,1,1.8000000000000003,2,-2,-5.7,-6,-2,0.3000000000000007,7,5,2,5.8,-4,2,1.7999999999999998,1,2,2.7,7,0,4.0,2,1,0.7999999999999998,3,1,2
18,1,-0.20000000000000018,-8,-1,1.0,-10,-2,-4.4,-15,-1,-0.7000000000000002,-2,-3,-2.5999999999999996,-9,1,5,7.300000000000002,6,1,2.5999999999999996,12,4,5.4,4,2,4.699999999999999,2,5,4.8,-1,0,2
11,-1,0.20000000000000018,8,-3,2.6999999999999984,3,-4,-5.4,-4,5,3.5999999999999996,-4,2,-0.3000000000000007,-7,4,2,1.8000000000000007,4,1,2.0999999999999996,8,-1,4.5,1,2,1.9000000000000008,1,4,7.5,7,1,1
3,-2,-5.8,4,2,2.8999999999999995,7,2,4.4,15,2,5.7,6,-5,-4.8,1,2,0,4.300000000000001,10,-5,-1.9000000000000004,15,1,2.3,8,-1,0.20000000000000018,17,2,-1.0000000000000009,3,4,1
3,1,2.0000000000000004,2,2,5.8,-4,2,1.7999999999999998,1,2,2.7,7,0,4.0,2,1,2,4.7,17,5,7.300000000000002,6,1,2.5999999999999996,12,4,5.4,4,2,4.699999999999999,2,1,1
17,1,-3.0999999999999996,-3,1,2.4999999999999996,-9,-3,0.5,-13,-4,-5.1,-3,1,-0.20000000000000018,-17,15,2,4.700000000000001,-4,-1,-2.8,1,-1,-2.5999999999999996,-12,-1,-1.8000000000000003,-2,1,0.7000000000000002,2,3,1
4,0,-3.5999999999999996,7,2,1.8000000000000007,4,1,2.0999999999999996,8,-1,4.5,1,2,1.9000000000000008,1,18,-2,-4.7,-17,1,-0.20000000000000018,-8,-1,1.0,-10,-2,-4.4,-15,-1,-0.7000000000000002,-2,3,0
16,-2,-2.0000000000000004,-2,1,2.8,-1,-2,0.39999999999999947,-4,1,6.500000000000002,-4,-5,-6.6,-6,10,0,3.5999999999999996,-7,-1,0.20000000000000018,8,-3,2.6999999999999984,3,-4,-5.4,-4,5,3.5999999999999996,-4,1,1
